"","x"
"661","hey, i have a poster on this topic . come visit me ! https://t.co/o0o1y5txr9"
"662","rt : standing room only when  presents. humbled and excited to be working with him and colleagues on mediatin…"
"663","rt : this cannot be repeated too many times :) thanks   for the great work and support. please help sprea…"
"664","rt : the all inclusive finnish biodiversity infrastructure #laji.fi presented by  at  https://t.co/ckxa…"
"665","rt : mass participation #citizenscience may deliver more records, but does it create more information?  has answers!…"
"666","rt : time to dissco!!
 as a new regional model for scientific collections in europe  https://t.co/b1q0bzvn…"
"667","please also consider the gender balance on this picture! well done  ! looking forward to the #si55 se… https://t.co/dhxogwoknx"
"668","rt :  from  presenting australia's digital research infrastructures for biodiversity informatics …"
"669","rt : great speakers today at the perspectives from the global south session at ! interesting and ever important pers…"
"670","rt : time to dissco!!
 as a new regional model for scientific collections in europe  https://t.co/b1q0bzvn…"
"671","rt :  and  collaborate to develop digital infrastructures to translate research into decision making…"
"672","rt :  and  collaborate to develop digital infrastructures to translate research into decision making…"
"673","rt : hey , come check out my poster during happy hour later today (at ps 0901)! https://t.co/ys5uae5sj5"
"674","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"675","rt : i think everyone at  would love (&; relate to) this! https://t.co/oodrusthx7"
"676","rt : ""de #biodiversiteitscrisis wordt niet veroorzaakt door een gebrek aan informatie, maar door desinteresse"", zegt …"
"677","rt : great speakers today at the perspectives from the global south session at ! interesting and ever important pers…"
"678","rt : de  app heeft nu ook automatische beeldherkenning.  demonstreert: neem een plant of dier in h…"
"679","rt : . activeert, vertelt . zo heeft één van de gebruikers een kleine leiden #bioblitz opgezet waa…"
"680","rt : it was just mentioned at  that every child in the netherlands wants to be a biologist, or more accurate…"
"681","rt : starting soon!   https://t.co/a3cul0mzpk"
"682","rt : #citethedoi is it trending yet??    https://t.co/btbe36dsre"
"683","starting soon!   https://t.co/a3cul0mzpk"
"684","rt : mass participation #citizenscience may deliver more records, but does it create more information?  has answers!…"
"685","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"686","rt : #inaturalist takes its species descriptions directly from  and if a user submits an observation for a species…"
"687","rt : de  app heeft nu ook automatische beeldherkenning.  demonstreert: neem een plant of dier in h…"
"688","rt : great speakers today at the perspectives from the global south session at ! interesting and ever important pers…"
"689","rt : the  conference continues today and tomorrow - colleagues from  and many other organisations a…"
"690","de  app heeft nu ook automatische beeldherkenning.  demonstreert: neem een plant of dier… https://t.co/x9lle4de3h"
"691","rt :  from  presenting australia's digital research infrastructures for biodiversity informatics …"
"692","<U+27A1><U+27A1> 
  <U+2605> #follow <U+2605>
if u want new followers
#teamfollowback <U+2605>
#followsack <U+2605>
#500aday <U+2605>
#1000aday <U+2605>
#tfb <U+2605>
#f4f <U+2605> ln8uh6kbta9"
"693","rt : more volunteers stick with #citizenscience structured surveys than simple mass participation projects. important to match…"
"694","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"695","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"696","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"697","rt : full house at the biodiversity data quality session at  https://t.co/mxhdhefg21"
"698","rt : how can you avoid this bias in #citizenscience data?  https://t.co/0ikqfybfsq"
"699","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"700","rt : voluntary, #citizenscience sling effort is of enourmous value. £20m+ annually in the uk. something to keep in mind!

#bio…"
"701","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"702","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"703","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"704","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"705","rt : hey , come check out my poster during happy hour later today (at ps 0901)! https://t.co/ys5uae5sj5"
"706","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"707","great speakers today at the perspectives from the global south session at ! interesting and ever import… https://t.co/r6u3kgzpbs"
"708","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"709","rt :  from  presenting australia's digital research infrastructures for biodiversity informatics …"
"710","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"711","rt : the all inclusive finnish biodiversity infrastructure #laji.fi presented by  at  https://t.co/ckxa…"
"712","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"713","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"714","  i wasn't able to make this session - interested to know what were considered to be the m… https://t.co/wkl5scwryv"
"715","rt : just put in my votes for best poster at  - had help from my team to evaluate each poster - one requirement was…"
"716","rt : today at 13:42, make sure you don’t miss our cto juan miguel gonzález-aranda talking about ‘facing e-biodiversity challe…"
"717","rt :  ""the inclusion of literature from  into world flora online is miles away""."
"718","rt : hey , come check out my poster during happy hour later today (at ps 0901)! https://t.co/ys5uae5sj5"
"719","rt : i guess i don't believe in a taxonomic name anymore unless ""iso-certified"" world flora online  https://t.c…"
"720","rt : laurens hogeweg of  talks about using mlm to identify dutch/belgian species and evaluating its results. sufficient…"
"721","rt : ss47 advancing biodiv research thrgh ai  machine learning model for identifying dutch/belgian biodiversity l…"
"722"," ""the inclusion of literature from  into world flora online is miles away""."
"723","rt : just put in my votes for best poster at  - had help from my team to evaluate each poster - one requirement was…"
"724","rt : laurens hogeweg  talks about image recognition of dutch and belgian biodiversity  https…"
"725","rt : ss47 advancing biodiv research thrgh ai  machine learning model for identifying dutch/belgian biodiversity l…"
"726","rt : semantic traits, linked trait data &; trait databases enable us to answer the really big questions in biodiversity resear…"
"727","rt :  from  presenting australia's digital research infrastructures for biodiversity informatics …"
"728","rt : ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machine learning…"
"729","rt : voluntary, #citizenscience sling effort is of enourmous value. £20m+ annually in the uk. something to keep in mind!

#bio…"
"730","rt : which traits are relevant? asks paula mabee.  https://t.co/cvgxuhi1ax"
"731","rt : #biodiversité &; #data : le lt du jour  à l'occasion de la conférence  bio- and geo-diversity #d…"
"732","rt : ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and ml dan stowell.…"
"733","rt : dan stowell  (of ) on the current state of the art in computational bioacoustics. data augmentation makes for smar…"
"734","rt :  and  collaborate to develop digital infrastructures to translate research into decision making…"
"735","rt : thanks for coming to our session yesterday! if you have any questions, please contact marie-elise () or vicente…"
"736","rt : peter desmet  digs into a few concrete exles of standardizing differently-sourced biologging data with partners a…"
"737","rt :  and  collaborate to develop digital infrastructures to translate research into decision making…"
"738","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"739","rt : .  from  now shows us how to share species pages in the atlas of living costa rica using #pliniancore #b…"
"740","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"741"," and  collaborate to develop digital infrastructures to translate research into decision maki… https://t.co/4cvjlkt06t"
"742","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"743","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"744","hey , come check out my poster during happy hour later today (at ps 0901)! https://t.co/ys5uae5sj5"
"745","rt : ss47 advancing biodiv research thrgh ai  machine learning model for identifying dutch/belgian biodiversity l…"
"746","laurens hogeweg of  talks about using mlm to identify dutch/belgian species and evaluating its result… https://t.co/knrfbcq768"
"747","ss47 advancing biodiv research thrgh ai  machine learning model for identifying dutch/belgian biod… https://t.co/paq9vmm9eg"
"748","just put in my votes for best poster at  - had help from my team to evaluate each poster - one req… https://t.co/s7m2tnojvh"
"749","rt : semantic traits, linked trait data &; trait databases enable us to answer the really big questions in biodiversity resear…"
"750","laurens hogeweg  talks about image recognition of dutch and belgian biodiversity  https://t.co/gd2cdotukc"
"751","rt : semantic traits, linked trait data &; trait databases enable us to answer the really big questions in biodiversity resear…"
"752","ss47 advancing biodiv research thrgh ai  machine learning model for identifying dutch/belgian biod… https://t.co/t2vqayvpm7"
"753","rt : how can you avoid this bias in #citizenscience data?  https://t.co/0ikqfybfsq"
"754","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"755","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"756","rt : voluntary, #citizenscience sling effort is of enourmous value. £20m+ annually in the uk. something to keep in mind!

#bio…"
"757","semantic traits, linked trait data &; trait databases enable us to answer the really big questions in biodiversity r… https://t.co/uheds77hbq"
"758","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"759","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"760","rt : amazing work in taiwan monitoring wildlife roadkill and wildlife disease by #citizenscientists  https://…"
"761"," from  presenting australia's digital research infrastructures for biodiversity informatics… https://t.co/kzbja9plow"
"762","ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machin… https://t.co/n3ziqtisxj"
"763","voluntary, #citizenscience sling effort is of enourmous value. £20m+ annually in the uk. something to keep in mi… https://t.co/llxy7mfahr"
"764","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"765","which traits are relevant? asks paula mabee.  https://t.co/cvgxuhi1ax"
"766","#biodiversité &; #data : le lt du jour  à l'occasion de la conférence  bio- and geo-div… https://t.co/d1gproqyoe"
"767","rt :  and more representation from around the globe - there's a hemispherical bias too #diversitynext "
"768","ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and ml dan… https://t.co/ioyacmluwf"
"769","rt : knowledge of the demography of citizen recorders can help us discover the underlying biodiversity information
 @…"
"770","rt : dan stowell  talks about bird audio detection and classification  https://t.co/ffs05orwxr"
"771","rt : time to dissco!!
 as a new regional model for scientific collections in europe  https://t.co/b1q0bzvn…"
"772","rt : laurens sparrius of  speaking about mapping botanical diversity in the netherlands by using existing data t…"
"773","rt : i guess i don't believe in a taxonomic name anymore unless ""iso-certified"" world flora online  https://t.c…"
"774","rt : ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machine learning…"
"775","rt :  day 3 first plenary speaker is jorge soberón, telling us about how mexican biodiversity agency …"
"776","dan stowell  (of ) on the current state of the art in computational bioacoustics. data augmentation m… https://t.co/bor0dsgdif"
"777","rt : paula mabee uses local art to illustrate her talk ;-)  https://t.co/mhoooekoow"
"778","rt : what are some sources of sling bias in #citizenscience data?  https://t.co/pof6zjz8ga"
"779","rt : today at 13:42, make sure you don’t miss our cto juan miguel gonzález-aranda talking about ‘facing e-biodiversity challe…"
"780","rt : how can you avoid this bias in #citizenscience data?  https://t.co/0ikqfybfsq"
"781","rt : ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machine learning…"
"782","ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machin… https://t.co/r1ntfl8fyp"
"783","rt :  : give credit when using  data from  #citethedoi   https:…"
"784","how can you avoid this bias in #citizenscience data?  https://t.co/0ikqfybfsq"
"785","rt : join the “enhancing #taxpub for dynamic #data exchange &; navigation” session today at  (<U+0001F550>13:30) with …/r1ntfl8fyp"
"786","rt : what are some sources of sling bias in #citizenscience data?  https://t.co/pof6zjz8ga"
"787","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"788","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"789","what are some sources of sling bias in #citizenscience data?  https://t.co/pof6zjz8ga"
"790","paula mabee uses local art to illustrate her talk ;-)  https://t.co/mhoooekoow"
"791","rt : milan chose 4 species of invasive plants that are often captured in photos. he went through  to look for observ…"
"792","rt : more #citizenscience sessions at  for me! these talks will focus on advancing the quality of diverse citiz…"
"793","ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machin… https://t.co/urgxc8uqwu"
"794","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"795","i guess i don't believe in a taxonomic name anymore unless ""iso-certified"" world flora online  https://t.co/ocwosozpyu"
"796","laurens sparrius of  speaking about mapping botanical diversity in the netherlands by using existin… https://t.co/xnmos0hygy"
"797","rt : .: 60% of all bee photos on  include a flower "
"798","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"799","time to dissco!!
 as a new regional model for scientific collections in europe  https://t.co/b1q0bzvnxx"
"800","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"801","dan stowell  talks about bird audio detection and classification  https://t.co/ffs05orwxr"
"802","knowledge of the demography of citizen recorders can help us discover the underlying biodiversity information… https://t.co/wiqokvgt36"
"803","rt : the all inclusive finnish biodiversity infrastructure #laji.fi presented by  at  https://t.co/ckxa…"
"804","rt : new version of nichemapr for ecological niche modeling available.  https://t.co/v4fqv99ttr"
"805","rt :  presents an in-depth user requirements analysis for , clear need for interoperability between infr…"
"806","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"807","ss47 advancing biodiv research thrgh ai  state of the art in computational bioacoustics and machin… https://t.co/d8ob5idwia"
"808","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"809","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"810","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"811","rt : new version of nichemapr for ecological niche modeling available.  https://t.co/v4fqv99ttr"
"812","rt : so much about #fairdata  and #openaccess in #caryophyllales  https://t.co/f5iolwgv1u"
"813","rt : ss47 advancing biodiv research thrgh ai  augmentation methods for biodiv training data by mario lasseck. dat…"
"814","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"815","rt : mario lasseck on augmenting training datasets for use in deep learning, augmenting audio as well as visual data to better identi…"
"816","rt : the all inclusive finnish biodiversity infrastructure #laji.fi presented by  at  https://t.co/ckxa…"
"817","rt : ss47 advancing biodiv research thrgh ai  augmentation methods for biodiv training data
difficult to benchmar…"
"818","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"819","rt : ian owens   on global #collections #collaboration  https://t.co/vghz2yrprf"
"820","rt : naturalist ... we don’t need you anymore #biodiversity  #ai https://t.co/km226banjx"
"821","rt : embedding computer vision in citizen science   2/ how to apply computer vision in #citizenscienc…"
"822","rt : . presents the requirements, issues to solve and a look to what collaboration could look like with …"
"823","rt : vote pi 0301 in the  poster competition
 https://t.co/8hioxx9tin"
"824","rt : jorge soberon and  have kicked off today's  proceedings with keynotes on the path from rese…"
"825","rt : ian owens   on global #collections #collaboration  https://t.co/vghz2yrprf"
"826","rt : the  conference continues today and tomorrow - colleagues from  and many other organisations a…"
"827","rt : finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards  pre…"
"828","rt : .: 60% of all bee photos on  include a flower "
"829","rt : milan chose 4 species of invasive plants that are often captured in photos. he went through  to look for observ…"
"830","rt :  presents an in-depth user requirements analysis for , clear need for interoperability between infr…"
"831","rt :  : give credit when using  data from  #citethedoi   https:…"
"832","rt : when people capture observations of one species in , they often also capture interactions with other species, l…"
"833","rt : more volunteers stick with #citizenscience structured surveys than simple mass participation projects. important to match…"
"834","rt : hey , if you are interested in audubon core or just want to know what it is, we are having an informal meetup at lunch t…"
"835","rt : super interesting talk by  on plant/insect interactions derived from  observations "
"836","rt :  from oxford talks about ai that thinks like a naturalist  https://t.co/vvmg93wdoc"
"837","rt : this cannot be repeated too many times :) thanks   for the great work and support. please help sprea…"
"838","rt : embedding computer vision in citizen science   2/ how to apply computer vision in #citizenscienc…"
"839","finbif https://t.co/odppv3zjqe - exle of a national all-embracing system supporting development towards… https://t.co/0klqer7k9q"
"840","rt : now  of  on computer vision and citizen science. making image classifiers think more like flesh-and-b…"
"841","rt : mass participation #citizenscience may deliver more records, but does it create more information?  has answers!…"
"842","rt : long way to go in citation culture—only 15% in 2018 knew to #citethedoi.  did lots of email outreach to improve…"
"843","rt : super interesting talk by  on plant/insect interactions derived from  observations "
"844","new version of nichemapr for ecological niche modeling available.  https://t.co/v4fqv99ttr"
"845","rt : embedding computer vision in citizen science tom august  2/ how to apply computer vision in #citizenscience…"
"846","rt : ggbn members participated in the  session on abs and presented use cases from their collections on follo…"
"847","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"848","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"849","rt : . presenting on behalf of milan gazdic at  on  as a source of plant-insect interac…"
"850","rt : super interesting talk by  on plant/insect interactions derived from  observations "
"851","rt :  from oxford talks about ai that thinks like a naturalist  https://t.co/vvmg93wdoc"
"852","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"853","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"854","so much about #fairdata  and #openaccess in #caryophyllales  https://t.co/f5iolwgv1u"
"855","rt : combining images with key metadata about locations, climate etc to think like a naturalist improves id results #ai #bi…"
"856","ss47 advancing biodiv research thrgh ai  augmentation methods for biodiv training data by mario la… https://t.co/tdvqxfplak"
"857","rt : .: 60% of all bee photos on  include a flower "
"858","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"859","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"860","mario lasseck on augmenting training datasets for use in deep learning, augmenting audio as well as visual data to… https://t.co/iqa1udyxoj"
"861","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"862","rt : anniina kuusijärvi of  &;  telling  how #abs is managed in the cms kotka. this is the practi…"
"863","the all inclusive finnish biodiversity infrastructure #laji.fi presented by  at  https://t.co/ckxazamu8d"
"864","rt : ""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human interpret…"
"865","rt :  presents an in-depth user requirements analysis for , clear need for interoperability between infr…"
"866","ss47 advancing biodiv research thrgh ai  augmentation methods for biodiv training data
difficult t… https://t.co/dzxelvxakq"
"867","rt : . presenting on behalf of milan gazdic at  on  as a source of plant-insect interac…"
"868","ian owens   on global #collections #collaboration  https://t.co/vghz2yrprf"
"869","rt : an interesting and useful takeaway was that they found social media (particularly facebook) to be an effective way to recru…"
"870","rt : jerome chie-jen ko of  shared some fascinating exles of citizen projects in taiwan, including one to rec…"
"871","rt : milan chose 4 species of invasive plants that are often captured in photos. he went through  to look for observ…"
"872","rt : the  conference continues today and tomorrow - colleagues from  and many other organisations a…"
"873","naturalist ... we don’t need you anymore #biodiversity  #ai https://t.co/km226banjx"
"874","the  conference continues today and tomorrow - colleagues from  and many other organisa… https://t.co/nxi1mmtg7q"
"875",".: 60% of all bee photos on  include a flower "
"876","rt :   totally agee, we have a poster on this topic at . 
https://t.co/jmpyjsqshs"
"877","milan chose 4 species of invasive plants that are often captured in photos. he went through  to look fo… https://t.co/jvdhi3wnaz"
"878","rt : more volunteers stick with #citizenscience structured surveys than simple mass participation projects. important to match…"
"879","rt : #citethedoi is it trending yet??    https://t.co/btbe36dsre"
"880"," presents an in-depth user requirements analysis for , clear need for interoperability between i… https://t.co/1nviqkyj4e"
"881","when people capture observations of one species in , they often also capture interactions with other sp… https://t.co/piwsopklao"
"882","more volunteers stick with #citizenscience structured surveys than simple mass participation projects. important to… https://t.co/xyjlrw191z"
"883","hey , if you are interested in audubon core or just want to know what it is, we are having an informal meetup… https://t.co/xfveyeixbm"
"884","super interesting talk by  on plant/insect interactions derived from  observations "
"885","embedding computer vision in citizen science   2/ how to apply computer vision in… https://t.co/s0uoa91qkq"
"886","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"887","rt : have you discovered  yet? free online access to biodiversity literature, a total of 56 million pages! but what n…"
"888","rt :  day 3 first plenary speaker is jorge soberón, telling us about how mexican biodiversity agency …"
"889","mass participation #citizenscience may deliver more records, but does it create more information?  has an… https://t.co/kuwhofipre"
"890","embedding computer vision in citizen science tom august  2/ how to apply computer vision in… https://t.co/qp68tknh8r"
"891",". presenting on behalf of milan gazdic at  on  as a source of plant-insect… https://t.co/4wxhrlmqcw"
"892","rt : . rocks! #citethedoi    https://t.co/mfvptvjz0b"
"893"," from oxford talks about ai that thinks like a naturalist  https://t.co/vvmg93wdoc"
"894","rt : embedding computer vision in citizen science tom august  speak about irecord and expert image naturalist + l…"
"895","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"896","combining images with key metadata about locations, climate etc to think like a naturalist improves id results #ai "
"897","rt : standing room only when  presents. humbled and excited to be working with him and colleagues on mediatin…"
"898","""data are not facts"": they are collected by people &; are thus coloured by human decisions, human error &; human inte… https://t.co/r5pwyld2iz"
"899",". rocks! #citethedoi    https://t.co/mfvptvjz0b"
"900","embedding computer vision in citizen science tom august  speak about irecord and expert image natu… https://t.co/obhpm0jvgi"
"901","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"902","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"903","rt : . presents the requirements, issues to solve and a look to what collaboration could look like with …"
"904","rt : get involved with alignment of global biodiversity initiatives. register for virtual conference in feb 2020. …"
"905","now  of  on computer vision and citizen science. making image classifiers think more lik… https://t.co/i27ok1mody"
"906","rt : total domination of inat in term of web traffic #biodiversite  https://t.co/idj9lgbzfq"
"907","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"908","rt : amazing work in taiwan monitoring wildlife roadkill and wildlife disease by #citizenscientists  https://…"
"909","rt : link other knowledge domains the big challenge in modeling of biodiversity  jorge soberon  #openbi…"
"910","rt : it seems everybody wants to see  and others presentation in... the smallest room of the building <U+0001F642> #biodiversi…nbi…"
"911","rt : sp39: aligning global to local. ""what might alignment mean?"" vincent smith    h…"
"912","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"913","rt : one of the best keynotes i've been to. super inspiring and exciting. thank you  and ! #biodiversityne…"
"914","rt : more #citizenscience sessions at  for me! these talks will focus on advancing the quality of diverse citiz…"
"915","rt : sp39: aligning global to local. ""what might alignment mean?"" vincent smith    h…"
"916","megan tells us about vertebrate trait data collection and curation in https://t.co/fgj81ll6oq   https://t.co/ppac6ygd2m"
"917","rt : an interesting and useful takeaway was that they found social media (particularly facebook) to be an effective way to recru…"
"918","i've posted the last part of my blog series ""understanding the tdwg standards documentation specification"". didn't… https://t.co/33qcebbncd"
"919","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"920","let's talk about #dissco  https://t.co/bisiseuhnh"
"921","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"922","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"923","rt : design studies showed that we need to coordinate scattered research acitivies around #collections to better use our #data…"
"924","rt : ss47 advancing biodiversity research through ai  efficient pipeline 4 automating species id in new camera tr…"
"925","making your database #openaccess massively increases the number of users downloading, querying, engaging with &; pub… https://t.co/ehsd7weueq"
"926","ss47 advancing biodiversity research through ai  efficient pipeline 4 automating species id in new… https://t.co/odxlknuxq8"
"927","an interesting and useful takeaway was that they found social media (particularly facebook) to be an effective way… https://t.co/ogd0jbxyls"
"928","rt : full full house for the session on biodiversity and ai!  https://t.co/mtbcqxmjnv"
"929","get involved with alignment of global biodiversity initiatives. register for virtual conference in feb 2020.… https://t.co/tjug4mpolk"
"930","jerome chie-jen ko of  shared some fascinating exles of citizen projects in taiwan, including on… https://t.co/m4e9aqx2rr"
"931","rt : standing room only when  presents. humbled and excited to be working with him and colleagues on mediatin…"
"932","rt : standing room only when  presents. humbled and excited to be working with him and colleagues on mediatin…"
"933","hearing now from sara beery (https://t.co/mb3blb4gpp) about automating species ids in camera trap projects. ct data… https://t.co/uqck96xjzu"
"934","ss47 advancing biodiversity research through ai  efficient pipeline 4 automating species id in new… https://t.co/eqdvwdt8mu"
"935","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"936","rt : jorge soberon and  have kicked off today's  proceedings with keynotes on the path from rese…"
"937","rt : . presents the requirements, issues to solve and a look to what collaboration could look like with …"
"938","rt : people are important to biodiversity and conservation  
  https://t.co/ntazxwraxj"
"939","standing room only when  presents. humbled and excited to be working with him and colleagues on media… https://t.co/0ly2u8tewk"
"940","rt : this cannot be repeated too many times :) thanks   for the great work and support. please help sprea…"
"941","listening to the gospel of world flora online  https://t.co/z9w58o1rnf"
"942","  totally agee, we have a poster on this topic at . 
https://t.co/jmpyjsqshs"
"943","camera traps are mutch harder than pictures taken by citizen #biodiversity  https://t.co/vnxlokfk5l"
"944","rt : ss47 advancing biodiversity research through artificial intelligence  full of attendees as expected. trainin…"
"945","rt : so, public engagement with biodiversity identification via  is incredible, but it just can't compete with th…"
"946","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"947","rt :  just a matter of time to get 2,000,000  observers!  #instantpot #biodiversit…"
"948","rt : dr. carrie seltzer  enthusiastically welcomes australia &;  to the global  fami…"
"949","rt :   uses computer vision models trained on millions of research-grade labeled observations #biodi…"
"950","rt :  folk may be interested in this! https://t.co/v3qelkvt21"
"951","rt : standing room only at the advancing biodiversity research through artificial intelligence session...  https://t…"
"952","rt : #citethedoi is it trending yet??    https://t.co/btbe36dsre"
"953","rt : it seems everybody wants to see  and others presentation in... the smallest room of the building <U+0001F642> #biodiversi…tynext https://t…"
"954","rt : full full house for the session on biodiversity and ai!  https://t.co/mtbcqxmjnv"
"955",". presents the requirements, issues to solve and a look to what collaboration could look like with… https://t.co/i6njmaczfj"
"956","rt : hearing about lots of exciting citizen science projects at . why not give  a try? https:…"
"957","rt : a mega session on traits in  https://t.co/rqpacamsz0"
"958","rt : design studies showed that we need to coordinate scattered research acitivies around #collections to better use our #data…"
"959","we need to talk ..     ..… https://t.co/oxp6j65hcv"
"960","amazing work in taiwan monitoring wildlife roadkill and wildlife disease by #citizenscientists  https://t.co/g4bctg7sfl"
"961","rt : today at 13:42, make sure you don’t miss our cto juan miguel gonzález-aranda talking about ‘facing e-biodiversity challe…"
"962","rt : vote pi 0301 in the  poster competition
 https://t.co/8hioxx9tin"
"963","rt : ss47 advancing biodiversity research through artificial intelligence  full of attendees as expected. trainin…"
"964","rt : a lot of data can be derived from specimens, this information needs to be unambiguously linked to specimen.  pla…"
"965","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"966","rt : sp39: aligning global to local. ""what might alignment mean?"" vincent smith    h…"
"967","rt : more #citizenscience sessions at  for me! these talks will focus on advancing the quality of diverse citiz…"
"968","rt : mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data that gbif hol…"
"969","rt : sp39: aligning global to local. ""what might alignment mean?"" vincent smith    h…"
"970","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"971","sp39: aligning global to local. ""what might alignment mean?"" vincent smith  … https://t.co/rqdjssdhsq"
"972","mediated machine vision  lays out the pipeline to leverage the vast and well-identified image data… https://t.co/hlrybvqbbx"
